date,home,away,home_score,away_score,neutral,tournament,city,country
2020-01-07,Barbados,Canada,1.0,4.0,True,Friendly,Irvine,United States
2020-01-09,Moldova,Sweden,0.0,1.0,True,Friendly,Doha,Qatar
2020-01-10,Barbados,Canada,1.0,4.0,True,Friendly,Irvine,United States
2020-01-12,Kosovo,Sweden,0.0,1.0,True,Friendly,Doha,Qatar
2020-01-15,Canada,Iceland,0.0,1.0,True,Friendly,Irvine,United States
2020-02-01,United States,Costa Rica,1.0,0.0,False,Friendly,Carson,United States
2020-09-03,Germany,Spain,1.0,1.0,False,UEFA Nations League,Stuttgart,Germany
2020-09-03,Ukraine,Switzerland,2.0,1.0,False,UEFA Nations League,Lviv,Ukraine
2020-09-03,Türkiye,Hungary,0.0,1.0,False,UEFA Nations League,Sivas,Turkey
2020-09-04,Italy,Bosnia and Herzegovina,1.0,1.0,False,UEFA Nations League,Florence,Italy
2020-09-04,Netherlands,Poland,1.0,0.0,False,UEFA Nations League,Amsterdam,Netherlands
2020-09-04,Norway,Austria,1.0,2.0,False,UEFA Nations League,Oslo,Norway
2020-09-04,Scotland,Israel,1.0,1.0,False,UEFA Nations League,Glasgow,Scotland
2020-09-04,Slovakia,Czechia,1.0,3.0,False,UEFA Nations League,Bratislava,Slovakia
2020-09-05,Iceland,England,0.0,1.0,False,UEFA Nations League,Reykjavík,Iceland
2020-09-05,Denmark,Belgium,0.0,2.0,False,UEFA Nations League,Copenhagen,Denmark
2020-09-05,Portugal,Croatia,4.0,1.0,False,UEFA Nations League,Porto,Portugal
2020-09-05,Sweden,France,0.0,1.0,False,UEFA Nations League,Stockholm,Sweden
2020-09-06,Spain,Ukraine,4.0,0.0,False,UEFA Nations League,Madrid,Spain
2020-09-06,Switzerland,Germany,1.0,1.0,False,UEFA Nations League,Basel,Switzerland
2020-09-06,Serbia,Türkiye,0.0,0.0,False,UEFA Nations League,Belgrade,Serbia
2020-09-07,Bosnia and Herzegovina,Poland,1.0,2.0,False,UEFA Nations League,Zenica,Bosnia and Herzegovina
2020-09-07,Netherlands,Italy,0.0,1.0,False,UEFA Nations League,Amsterdam,Netherlands
2020-09-07,Northern Ireland,Norway,1.0,5.0,False,UEFA Nations League,Belfast,Northern Ireland
